証券コード,会社名,基準日,本文
1380,株式会社秋川牧園,2026-03-31,"３【配当政策】

当社は、株主の皆様への利益還元を重視し、かつ、秋川牧園ブランドの確立と中長期的な成長に向けての積極的な投資と堅実な財務体質を両立することを基本方針としております。

当社は、期末配当における年１回の剰余金の配当を行うことを基本方針としており、この剰余金の配当の決定機関は株主総会であります。

当事業年度の配当につきましては、上記方針に基づき当期は１株当たり10円の配当を2026年６月26日開催予定の定時株主総会で決議する予定であります。

内部留保資金につきましては、今後の経営環境に対応する財務基盤の強化と、中長期的な成長に向けての投資に充てたいと考えております。

当社は「取締役会の決議により、毎年９月30日を基準日として、中間配当をすることができる。」旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は、上記方針に基づき、以下のとおり付議する予定であります。

 

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年６月26日

41,691

10

定時株主総会決議（予定）"
1381,株式会社アクシーズ,2025-06-30,"３ 【配当政策】

当社は、安定的な経営基盤の確保に努めるための積極的な設備投資と会社の競争力の維持強化を行うとともに、株主に対する利益還元を経営の最重要政策として位置付けており、業績に裏付けされた成果の配分を行うことを基本方針としております。

当社の剰余金の配当は、期末配当の年１回を基本方針としており、この剰余金の配当の決定機関は、株主総会であります。

上記方針に基づき、2025年６月期の期末配当につきましては、１株当たり112円50銭の配当を実施することを決定いたしました。この結果、当連結会計年度は配当性向36.7％％、自己資本利益率8.1％％となりました。

内部留保資金につきましては、今後予想される業界他社との競争激化に対処し、今まで以上に生産基盤の強化を行うための生産設備への投資やお客様からのより一層の信頼を得るための環境保全並びに製品品質向上への投資を行いたいと考えております。

当社は、会社法第454条第５項の規定に基づき、取締役会の決議によって中間配当を行うことができる旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

 













決議年月日



配当金の総額

(百万円)



１株当たり配当額

(円)







2025年９月17日

定時株主総会決議



631



112.50"
1382,株式会社ホーブ,2025-06-30,"３【配当政策】

当社は、利益配分について、将来の事業展開と経営体質強化のために必要な内部留保を確保しながら、安定配当を継続、維持しつつ業績を考慮して、積極的な配当政策を行うこととし、剰余金の配当は年１回期末配当を行うことを基本方針としております。剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。当社は、「取締役会の決議により、毎年12月31日を基準日として、中間配当を行うことができる」旨を定款に定めております。

当事業年度の配当につきましては、上記方針に基づき、１株当たり50円の配当を実施することを2025年９月24日開催の定時株主総会において決定いたしました。この結果、当事業年度の配当性向は257.5％となりました。

内部留保金につきましては、今後予想される経営環境の変化に対応すべく、市場ニーズに応える生産技術の強化、人材育成をはかるため、有効投資してまいりたいと考えております。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2025年９月24日

38,082

50

定時株主総会決議"
1383,ベルグアース株式会社,2025-10-31,"３【配当政策】

利益配分につきましては、将来の事業展開と経営体質の強化のために必要な内部留保を確保しつつ、株主への安定した配当を継続的に実施していくことを基本方針としております。

剰余金の配当は、株主総会の決議による年１回の期末配当を行うことを基本的な方針としております。

当事業年度の剰余金の配当につきましては、継続的な安定配当の基本方針のもと、１株当たり10円とすることを2026年１月29日開催予定の定時株主総会で決議して実施する予定であります。

内部留保資金につきましては、健全な財務体質の構築・維持及び積極的な事業展開のための投資等に充当していく予定であります。

なお、当社は中間配当を実施することができる旨を定款に定めております。

 

（注） 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年１月29日

16,132

10

定時株主総会決議（予定）"
1384,株式会社　ホクリヨウ,2026-03-31,"３【配当政策】

当社は、業績と企業体質の強化を総合的に勘案し、かつ「資本コストを意識した経営」「株主還元策の充実」に対する社会的意識の高まりを踏まえ、配当性向30％を目安として株主還元策の充実を図ってまいります。

当社の剰余金の配当は年１回の期末配当を基本方針としており、当配当の決定機関は取締役会であります。

当事業年度の剰余金の配当につきましては、業績を反映させ前期より60円増配し、１株当たり配当額130円（期末配当）を実施いたしております。

内部留保資金につきましては、企業体質の強化、将来の事業活動の強化、市場のニーズに応える生産設備、製造設備の強化を中心とした有効投資に備える予定であります。

なお、当社は、会社法第454条第５項の規定に基づき、「取締役会の決議によって、毎年９月末日を基準日として中間配当をすることができる。」旨を定款に定めております。

また、当社は、剰余金の配当等会社法第459条第１項各号に定める事項について、法令に別段の定めがある場合を除き、株主総会の決議によらず取締役会の決議により定める旨定款に定めております。これは、剰余金の配当等を取締役会の権限とすることにより、株主への機動的な利益還元を行うことを目的とするものであります。

 

当事業年度に属する剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2026年５月15日

取締役会決議

1,099

130"
138A,光フードサービス株式会社,2025-11-30,"３【配当政策】

当社は、現状において成長過程であり、さらなるブランド強化、人材確保、経営基盤の強化等、まずは内部留保の充実と事業推進に必要な投資活動を積極的に行っていくことが重要と考えております。しかしながら、株主への利益還元は重要な経営課題として認識しており、今後の経営成績及び財政状態を鑑みつつ、事業・投資計画、事業環境等を総合的に勘案し、内部留保とのバランスをとりつつ配当について検討していく方針であります。

内部留保資金については、店舗の新設及び改装費のほか、今後の事業展開のための人材の採用や教育など、将来の利益に貢献する有効な投資資金として活用しつつ、より一層の財務体質強化にも努める所存であります。

当事業年度の期末配当金につきましては、2026年１月14日開催の当社取締役会に基づき、１株当たり40円の配当を実施することといたしました。

なお、当社は、剰余金の配当を行う場合は、年１回期末配当を行うことを基本的な方針としており、その他に年１回中間配当を行うことができる旨及び上記の他に基準日を設けて剰余金の配当を行うことができる旨を定款で定めております。また、当社は、剰余金の配当等会社法第459条第１項各号に定める事項については、法令に別段の定めがある場合を除き、株主総会の決議によらず取締役会の決議によって定める旨を定款に定めております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年１月14日

39,680

40

取締役会決議"
1401,株式会社エムビーエス,2026-05-31,"３ 【配当政策】

当社は、株主に対する利益還元を経営の重要課題と認識しており、将来の事業拡大や経営基盤強化のために内部留保を確保しつつ、財政状態及び経営成績等を総合的に判断して利益配当を実施していく方針であります。

当社は、継続的な安定配当を基本方針のもと、中間配当と期末配当の年２回の剰余金の配当を行うこととしており、これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度におきましては、当期純利益を計上し、経営環境及び今後の事業展開等を総合的に勘案し継続的な安定配当の基本方針のもと、期末配当金につきましては、１株あたり15.00円を、2026年８月27日開催予定の第29期定時株主総会で決議して実施する予定であります。

今後につきましても、将来の事業発展のために必要な内部留保の充実を考慮したうえで、各期の経営成績及び財政状態を勘案しつつ、利益配当による株主に対する利益還元を安定的・継続的に行っていく所存であります。なお、内部留保につきましては、主軸事業であるホームメイキャップ事業の収益拡大及び施工品質強化を目的とした設備資金（全国の出店資金を含む。）、研究開発費及び運転資金に充当して参ります。

また、当社は「取締役会の決議によって、毎年11月30日を基準日として中間配当を行うことができる。」旨を定款に定めております。

 

   当事業年度に係る剰余金の配当は以下のとおりであります。













決議年月日



配当金の総額（千円）



１株当たり配当額(円)







2026年８月27日

定時株主総会決議(予定)



103,978



15.00"
1407,株式会社ウエストホールディングス,2025-08-31,"３ 【配当政策】

当社は、将来の事業展開と財務内容の強化を図るため必要な内部留保を図りつつ、安定した配当を維持継続するのと同時に、財務状況に応じた積極的な株主還元策を行うことを株主への利益配分の基本方針としております。

当社の剰余金の配当は、中間配当及び期末配当の年２回を基本方針としております。配当の決定機関は、中間配当は取締役会、期末配当は株主総会であります。現在のところ中間配当は行っておらず、期末配当のみを実施しております。従いまして、当事業年度は１株当たり65円の配当を実施する予定です。

なお、当社は会社法第454条第５項に規定する中間配当を行うことができる旨を定款に定めております。

 

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。














決議年月日



株式の種類



配当金の総額
（百万円）



１株当たり配当金
（円）







2025年11月26日

定時株主総会決議(予定)



普通株式



2,577



65.00"
1414,ショーボンドホールディングス株式会社,2025-06-30,"３【配当政策】

当社は、株主に対する利益還元を経営の最重要課題として認識しており、業績に連動した配当を安定的に行うことを基本方針としております。

内部留保金については、財務の健全性を意識しつつ、利益の持続的成長と企業価値向上のための投資等や機動的な資本政策等に活用する考えであります。

また、当社は2025年８月12日開催の取締役会において、「中期経営計画2027」における株主還元方針の変更を決議し、2025年６月期から2027年６月期までの３カ年の連結配当性向を60％とすることといたしました。

上記方針に基づき、当期の期末配当金については、１株当たり111円50銭の配当を行うことを2025年９月26日開催の定時株主総会で決議する予定であります。これにより、中間配当金（64円）を加えた当期の配当金は、１株につき175円50銭となる予定であります。

当社は会社法第454条第５項に規定する中間配当を行うことができる旨を定款で定めており、中間配当と期末配当の年２回の剰余金の配当を行うことを基本方針としています。

これらの剰余金の配当の決定機関は、期末配当は株主総会、中間配当は取締役会としています。

 

（注） 基準日が当事業年度に属する剰余金の配当は以下のとおりです。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年２月10日

取締役会決議

3,306

64.00

2025年９月26日

定時株主総会決議（予定）

5,694

111.50"
1417,株式会社ミライト・ワン,2026-03-31,"３ 【配当政策】

当社は、株主還元については2023年11月に公表したB/S面から見た成長戦略で従来方針を強化し、安定的な配当成長と機動的な自己株式取得により、総還元性向50%～70%をターゲットレンジにしております。

なお、利用目的のない自己株式は積極的に消却を実施することとしております。

剰余金の配当は、中間配当及び期末配当の年２回を基本的な方針としており、配当の決定機関は中間配当については取締役会、期末配当については株主総会であります。また、当社は会社法第454条第５項に規定する中間配当金を支払うことができる旨を定款に定めております。

上記方針に従い、当期の期末配当金については、１株当たり45円を予定しております。これにより、第16期の配当金については、１株当たり85円（中間配当金40円、期末配当金45円）となる予定です。

加えて、株主還元の充実と経営環境の変化に対応した機動的な資本政策の遂行を可能にするため、当期中に自己株式の取得（合計 113万株、29億９千９百万円）を実施いたしました。

次期については、自己株式の取得（上限200万株／60億円）を行うことを2026年５月12日に決議するとともに、配当金については、１株当たり年間配当金を10円増配し、１株当たり95円（中間配当金45円、期末配当金50円）とすることを予定しております。

 

(注)基準日が当事業年度に属する剰余金の配当は、次のとおりであります。













決議年月日



配当金の総額
(百万円)



１株当たり配当額
(円)







2025年11月13日



3,564



40.00







取締役会決議







2026年６月24日



4,009



45.00







定時株主総会決議（予定）"
1418,インターライフホールディングス株式会社,2026-02-28,"３ 【配当政策】

当社グループは、株主の皆様への長期的利益還元を重要な課題のひとつと考え、安定した配当を行うことを基本としており、配当性向の目標を40％から50％以上に引き上げ、企業体質の強化及び内部留保の充実を併せて検討しております。内部留保による資金につきましては、今後の事業発展を推進するための新規事業開発・人材育成及び財務体質の改善、その他の資金需要を賄う原資として活用してまいります。

また、当社は、剰余金の配当等会社法第459条第１項各号に定める事項については、法令に別段の定めのある場合を除き、取締役会の決議により定める旨を定款に定めております。これは、剰余金の配当等を取締役会の権限とすることにより、株主の皆様への機動的な利益還元を行うことを目的とするものであります。

なお、当社は、毎年８月末を基準日として、中間配当を行うことができる旨を定款に定めており、2026年２月期の配当は、中間配当を１株当たり10円を実施し、期末配当につきましては、2026年４月14日開催の取締役会において、１株当たり20円(効力発生日 2026年５月８日)、配当金の総額は317,536千円とする決議をさせていただきました。

（ご参考）

配当金及び配当性向の推移
















 



2023年２月期

実績



2024年２月期

実績



2025年２月期

実績



2026年２月期

実績



2027年２月期

予想







配当金（円）



5.0



8.0



20.0



30.0



30.0







配当性向（％）



44.1



32.2



44.0



56.0



57.2





 


（注）配当性向については、株式給付信託導入に伴い株式会社日本カストディ銀行（信託Ｅ口）が所有する当社

株式を控除対象の自己株式に含めて算出しております。"
1419,タマホーム株式会社,2026-05-31,"３ 【配当政策】

当社は、株主の皆様への利益還元を重要な経営課題の一つと認識しており、経営成績に応じて株主の皆様への利益還元を継続的に行うことを基本方針としております。
当社の剰余金の配当の決定機関は株主総会でありますが、中間配当の実施につきましては取締役会決議で行うことができる旨を定款に定めております。
第28期事業年度の期末配当につきましては、2026年８月26日開催の定時株主総会において、１株当たり125円、配当金総額3,623,519,750円とさせていただきました。
なお、次期配当につきましては、１株当たり130円を予定しております。"
141A,株式会社トライアルホールディングス,2025-06-30,"３【配当政策】

当社は、株主の皆様への利益還元を経営の重要課題の一つと考えております。積極的な事業展開と経営基盤の強化を図ることにより、継続的に成長し、株主の皆様及びお客様をはじめとした全てのステークホルダーの期待に応えながら、安定的かつ継続的な配当を実施する方針であります。

剰余金の配当を行う場合、期末配当において年１回の剰余金の配当を行うことを基本的な方針としておりますが、当社は会社法第454条第５項に規定する中間配当を、毎年12月31日を基準日として行うことができる旨を定款において定めております。これらの剰余金の配当の決定機関は、期末配当については株主総会、中間配当については取締役会であります。

当事業年度の剰余金の配当につきましては、上記方針に基づき、１株当たり16円としております。

内部留保の使途につきましては、今後の事業展開に備えて、設備投資等に充当していくこととしております。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額（百万円）

１株当たり配当額（円）

2025年９月26日

1,956

16.00

定時株主総会決議"
1420,サンヨーホームズ株式会社,2026-03-31,"３【配当政策】

当社は、株主の皆様に対する利益還元を経営の最重要課題として認識しており、将来の企業成長と経営体質構築のための内部留保を確保しつつ、株主の皆様へ継続的に配当を行うことを基本方針としています。

配当の基準日は、定款において中間配当９月30日、期末配当３月31日と定めておりますが、現状においては、業績の季節変動が大きいため、年１回の期末配当を行うことを基本方針としております。

剰余金の配当の決定機関は、会社法第459条第１項各号に定める事項に基づき、法令に別段の定めがある場合を除き、株主総会の決議によらず取締役会の決議により定める旨定款に定めております。これは、剰余金の配当等を取締役会の権限とすることにより、機動的な配当政策及び資本政策を行うことを目的とするものであります。

上記方針を踏まえ、当事業年度の利益配当につきましては、自己資本の充実による財務体質の強化はもとより、株主の皆様への利益還元を重視し、年間25円の配当金とさせていただきました。

なお、当事業年度に係る剰余金の配当は以下のとおりであります。

決議年月日

配当金の総額

（千円）

１株当たり配当額

（円）

2026年５月11日

319,255

25

取締役会決議"
1429,株式会社日本アクア,2025-12-31,"３ 【配当政策】

当社は、株主に対する利益還元を経営の最重要課題の一つと位置付けております。当社の基本方針は事業規模の拡大、経営体質の強化に向けた内部留保と配当のバランスを重視していくことであります。このため経営成績・財政状況を勘案しながら株主への利益還元に努める所存であります。
 

当事業年度の剰余金の配当につきましては、当該基本方針と最近の業績動向・今後の設備投資計画を踏まえ、期末配当金として1株あたり35円を、2026年3月30日開催予定の定時株主総会で決議して実施する予定であります。

また、中期経営計画「3 Pillars of Stability（安定した３本柱）」では配当方針として配当性向50％以上、かつ累進配当制度を導入しております。

当社の剰余金の配当は、期末配当の年１回を基本的な方針としておりますが、期末配当の決定機関は株主総会であります。

なお、会社法第454条第５項に規定する中間配当を取締役会の決議により行うことができる旨を定款に定めております。

(注) 基準日が当事業年度に属する剰余金の配当は、以下のとおりであります。













決議年月日



配当金の総額
（千円）



１株当たりの配当金
（円)







2026年３月30日

定時株主総会決議(予定)



1,127,393



35"
142A,株式会社ジンジブ,2026-03-31,"３ 【配当政策】

当社は、経営基盤の長期安定に向けた財務体質の強化及び事業の継続的な拡大発展を目指すため、内部留保の充実が重要であると考え、会社設立以来、当事業年度を含め配当は実施しておりません。しかしながら、株主利益の最大化を重要な経営目標の一つとして認識しており、今後の株主への剰余金の配当につきましては、業績の推移・財務状況、今後の事業・投資計画等を総合的に勘案し、内部留保とのバランスをとりながら検討していく方針です。

 

内部留保資金につきましては、経営基盤の長期安定に向けた財務体質の強化及び事業の継続的な拡大発展を実現させるための資金として、有効に活用していく所存であります。

なお、剰余金の配当を行う場合は、年１回の剰余金の配当を期末に行うことを基本としており、その他年１回中間配当を行うことができる旨及び上記の他に基準日を設けて剰余金の配当を行うことができる旨を定款で定めております。なお、当社は、会社法第459条第１項の規定に基づき、剰余金の配当に係る決定機関を取締役会とする旨を定款で定めております。"
