証券コード,会社名,会計基準,決算期,年度,指標,値,この値の基準,出所書類,本体か訂正か
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,営業CF,40379000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,営業CF,53242000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,売上高,693682000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,売上高,768181000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,売上高,831375000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,売上高,886126000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,売上高,931265000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,従業員数,9662,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,従業員数,9515,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,従業員数,10104,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,従業員数,10332,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,従業員数,11526,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,純利益,17275000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,純利益,21233000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,純利益,23850000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,純利益,25381000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,純利益,27517000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,純資産,208598000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,純資産,220635000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,純資産,257304000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,純資産,285939000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,純資産,309943000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,経常利益,32372000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,経常利益,27776000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,経常利益,31963000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,経常利益,35301000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,経常利益,43187000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,総資産,505731000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,総資産,549013000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,総資産,606384000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,総資産,634878000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,総資産,749509000000,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2022,自己資本比率,0.3753,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2023,自己資本比率,0.3950,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2024,自己資本比率,0.4109,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2025,自己資本比率,0.4364,JGAAP,S100YHOQ,本体
1332,株式会社ニッスイ,Japan GAAP,03月期,2026,自己資本比率,0.4004,JGAAP,S100YHOQ,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,EPS,107.04,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,EPS,121.23,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,EPS,137.87,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,EPS,153.97,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,EPS,146.75,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,ROE,0.112,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,ROE,0.110,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,ROE,0.108,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,ROE,0.107,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,ROE,0.093,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,営業CF,19249000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,営業CF,-24000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,営業CF,53604000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,営業CF,39179000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,営業CF,24804000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,売上高,866702000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,売上高,1020456000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,売上高,1030674000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,売上高,1078631000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,売上高,1105890000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,従業員数,12352,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,従業員数,12843,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,従業員数,12531,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,従業員数,12454,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,従業員数,12479,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,純利益,16898000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,純利益,18596000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,純利益,20853000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,純利益,23264000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,純利益,22182000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,純資産,187895000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,純資産,212522000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,純資産,245480000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,純資産,275396000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,純資産,291487000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,経常利益,27596000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,経常利益,33500000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,経常利益,31106000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,経常利益,32254000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,経常利益,31251000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,総資産,548603000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,総資産,637227000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,総資産,671801000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,総資産,681211000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,総資産,751702000000,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2022,自己資本比率,0.292,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2023,自己資本比率,0.280,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2024,自己資本比率,0.308,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2025,自己資本比率,0.337,JGAAP,S100YCK1,本体
1333,Umios株式会社,Japan GAAP,03月期,2026,自己資本比率,0.329,JGAAP,S100YCK1,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,EPS,1.13,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,EPS,5.04,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,EPS,33.33,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,EPS,42.04,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,EPS,63.95,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,ROE,0.382,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,ROE,0.804,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,ROE,0.608,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,ROE,0.351,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,ROE,0.372,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,営業CF,13000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,営業CF,-40000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,営業CF,435000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,営業CF,-161000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,営業CF,-374000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,売上高,344000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,売上高,617000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,売上高,1411000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,売上高,2144000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,売上高,3278000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,従業員数,20,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,従業員数,29,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,従業員数,49,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,従業員数,97,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,従業員数,138,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2022,純利益,11000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2023,純利益,49000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2024,純利益,330000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2025,純利益,425000000,JGAAP,S100Y2CG,本体
135A,株式会社ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Japan GAAP,02月期,2026,純利益,652000000,JGAAP,S100Y2CG,本体
